date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:05:11	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5a2402a31fdd5%22	http://covid.gov.pk/robots.txt		(from )
05:05:12	79394/79394	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:05:11%20GMT	http://covid.gov.pk/	C:/My%20Web%20Sites/test/covid.gov.pk/index.html	(from )
05:05:13	180721/180721	---M--	200	added ('OK')	image/png	etag:%222c1f1-5ae2b8d2b3b8e%22	https://covid.gov.pk/v2/img/favicon.png	C:/My%20Web%20Sites/test/covid.gov.pk/v2/img/favicon.png	(from http://covid.gov.pk/)
05:05:14	2767/2767	---M-Z	200	added ('OK')	text/css	etag:%22acf-5ae2b8d2a0306-gzip%22	https://covid.gov.pk/v2/css/c3.css	C:/My%20Web%20Sites/test/covid.gov.pk/v2/css/c3.css	(from http://covid.gov.pk/)
05:05:15	3145/3145	---M-Z	200	added ('OK')	text/css	etag:W/%225b3a2182-c49%22	https://kenwheeler.github.io/slick/slick/slick-theme.css	C:/My%20Web%20Sites/test/kenwheeler.github.io/slick/slick/slick-theme.css	(from http://covid.gov.pk/)
05:05:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Nov%202020%2013:05:15%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/test/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.3.delayed	(from http://covid.gov.pk/)
05:05:16	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/test/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from http://covid.gov.pk/)
05:05:17	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%221574963566%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/test/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from http://covid.gov.pk/)
05:05:17	61316/61316	---M-Z	200	added ('OK')	text/css	etag:%22ef84-5ae2b8d2a0306-gzip%22	https://covid.gov.pk/v2/css/style.css	C:/My%20Web%20Sites/test/covid.gov.pk/v2/css/style.css	(from http://covid.gov.pk/)
05:05:19	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/test/unpkg.com/aos@2.3.1/dist/aos.css	(from http://covid.gov.pk/)
05:05:20	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/test/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://covid.gov.pk/)
05:05:22	48550/48550	---M--	200	added ('OK')	image/png	etag:%22bda6-5ae2b8d2bb890%22	https://covid.gov.pk/v2/img/logo.png	C:/My%20Web%20Sites/test/covid.gov.pk/v2/img/logo.png	(from http://covid.gov.pk/)
05:05:24	21782/21782	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:05:24%20GMT	https://covid.gov.pk/stats/pakistan	C:/My%20Web%20Sites/test/covid.gov.pk/stats/pakistan.html	(from http://covid.gov.pk/)
05:05:25	19209/19209	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:05:25%20GMT	https://covid.gov.pk/stats/weekly	C:/My%20Web%20Sites/test/covid.gov.pk/stats/weekly.html	(from http://covid.gov.pk/)
05:05:26	16343/16343	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:05:26%20GMT	https://covid.gov.pk/stats/ict	C:/My%20Web%20Sites/test/covid.gov.pk/stats/ict.html	(from http://covid.gov.pk/)
05:05:27	16346/16346	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:05:27%20GMT	https://covid.gov.pk/stats/punjab	C:/My%20Web%20Sites/test/covid.gov.pk/stats/punjab.html	(from http://covid.gov.pk/)
05:05:29	16352/16352	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:05:28%20GMT	https://covid.gov.pk/stats/sindh	C:/My%20Web%20Sites/test/covid.gov.pk/stats/sindh.html	(from http://covid.gov.pk/)
05:05:30	16348/16348	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:05:29%20GMT	https://covid.gov.pk/stats/kpk	C:/My%20Web%20Sites/test/covid.gov.pk/stats/kpk.html	(from http://covid.gov.pk/)
05:05:31	16351/16351	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:05:30%20GMT	https://covid.gov.pk/stats/balochistan	C:/My%20Web%20Sites/test/covid.gov.pk/stats/balochistan.html	(from http://covid.gov.pk/)
